order_id,session_id,viewer_id,order_ts,total_value,payment_status,shipping_city
O400000,S050,V0000004,2025-05-20 18:13:02,114862,PAID,Bogor
O400001,S050,V0000017,2025-05-20 18:17:58,188858,PAID,Garut
O400002,S050,V0000019,2025-05-20 18:29:54,223245,PAID,Banyuwangi
O400003,S050,V0000035,2025-05-20 18:22:42,155008,PAID,Sukabumi
O400004,S050,V0000041,2025-05-20 18:25:16,116832,PAID,Pontianak
O400005,S050,V0000063,2025-05-20 18:21:37,78234,PAID,Mataram
O400006,S050,V0000066,2025-05-20 18:25:50,152209,PAID,Cianjur
O400007,S050,V0000073,2025-05-20 18:31:56,96868,PAID,Depok
O400008,S050,V0000081,2025-05-20 18:29:02,214264,PAID,Jakarta
O400009,S050,V0000088,2025-05-20 18:17:33,211394,PAID,Cirebon
O400010,S050,V0000089,2025-05-20 18:17:08,218682,PAID,Cikampek
O400011,S050,V0000090,2025-05-20 18:22:42,110066,PAID,Balikpapan
O400012,S050,V0000099,2025-05-20 18:28:37,245368,PAID,Malang
O400013,S050,V0000108,2025-05-20 18:17:12,198085,PAID,Balikpapan
O400014,S050,V0000116,2025-05-20 18:19:25,94448,PAID,Cikampek
O400015,S050,V0000121,2025-05-20 18:24:23,124921,PAID,Blitar
O400016,S050,V0000140,2025-05-20 18:31:58,116832,PAID,Bekasi
O400017,S050,V0000141,2025-05-20 18:27:12,70565,PAID,Surabaya
O400018,S051,V0010008,2025-05-20 19:22:03,223245,PAID,Palembang
O400019,S051,V0010009,2025-05-20 19:27:15,164800,PAID,Tangerang
O400020,S051,V0010024,2025-05-20 19:11:33,122730,PAID,Bandung
O400021,S051,V0010028,2025-05-20 19:14:40,196185,PAID,Semarang
O400022,S051,V0010062,2025-05-20 19:11:20,169595,PAID,Sukabumi
O400023,S051,V0010075,2025-05-20 19:10:42,145861,PAID,Karawang
O400024,S051,V0010077,2025-05-20 19:09:45,183971,PAID,Surabaya
O400025,S051,V0010078,2025-05-20 19:12:48,78234,PAID,Mojokerto
O400026,S051,V0010097,2025-05-20 19:21:48,119914,PAID,Tangerang
O400027,S051,V0010100,2025-05-20 19:12:33,196185,PAID,Magelang
O400028,S051,V0010102,2025-05-20 19:34:18,170864,PAID,Surabaya
O400029,S051,V0010125,2025-05-20 19:09:24,179897,PAID,Bandung
O400030,S051,V0010140,2025-05-20 19:16:48,106603,PAID,Banyuwangi
O400031,S052,V0020006,2025-05-20 21:00:45,88610,PAID,Purwokerto
O400032,S052,V0020036,2025-05-20 21:10:09,122730,PAID,Depok
O400033,S052,V0020046,2025-05-20 21:04:12,170864,PAID,Garut
O400034,S052,V0020063,2025-05-20 21:04:04,138358,PAID,Purwokerto
O400035,S052,V0020068,2025-05-20 21:04:38,215691,PAID,Bekasi
O400036,S052,V0020075,2025-05-20 21:12:30,173712,PAID,Jakarta
O400037,S052,V0020084,2025-05-20 21:05:49,209231,PAID,Singaraja
O400038,S052,V0020105,2025-05-20 21:05:43,205679,PAID,Tangerang
O400039,S052,V0020117,2025-05-20 20:58:52,135485,PAID,Malang
O400040,S052,V0020124,2025-05-20 21:01:19,155008,PAID,Purwokerto
O400041,S052,V0020127,2025-05-20 21:05:36,81390,PAID,Palu
O400042,S052,V0020134,2025-05-20 21:00:05,104308,PAID,Bandung
O400043,S052,V0020144,2025-05-20 21:16:23,179897,PAID,Kediri
O400044,S053,V0030012,2025-05-21 19:17:06,114862,PAID,Cilacap
O400045,S053,V0030027,2025-05-21 19:13:55,75514,PAID,Garut
O400046,S053,V0030064,2025-05-21 19:15:16,159194,PAID,Singaraja
O400047,S053,V0030083,2025-05-21 19:20:07,214264,PAID,Sukabumi
O400048,S053,V0030088,2025-05-21 19:12:26,218682,PAID,Tasikmalaya
O400049,S053,V0030099,2025-05-21 19:32:38,223245,PAID,Palu
O400050,S053,V0030105,2025-05-21 19:07:40,203080,PAID,Solo
O400051,S053,V0030108,2025-05-21 19:29:22,152694,PAID,Serang
O400052,S054,V0040013,2025-05-21 19:28:05,81390,PAID,Sukabumi
O400053,S054,V0040020,2025-05-21 19:38:34,229014,PAID,Bekasi
O400054,S054,V0040033,2025-05-21 19:26:50,245368,PAID,Depok
O400055,S054,V0040050,2025-05-21 19:34:55,223245,PAID,Cilacap
O400056,S054,V0040056,2025-05-21 19:35:00,135485,PAID,Tangerang
O400057,S054,V0040064,2025-05-21 19:30:03,78234,PAID,Manado
O400058,S054,V0040093,2025-05-21 19:30:18,94448,PAID,Manado
O400059,S054,V0040106,2025-05-21 19:34:05,152694,PAID,Batam
O400060,S054,V0040107,2025-05-21 19:31:06,78331,PAID,Serang
O400061,S054,V0040131,2025-05-21 19:23:49,210763,PAID,Tangerang
O400062,S054,V0040142,2025-05-21 19:35:21,223245,PAID,Serang
O400063,S054,V0040143,2025-05-21 19:33:50,188858,PAID,Garut
O400064,S054,V0040145,2025-05-21 19:21:19,229014,PAID,Depok
O400065,S055,V0050003,2025-05-21 20:15:13,124921,PAID,Bekasi
O400066,S055,V0050008,2025-05-21 20:24:06,215691,PAID,Blitar
O400067,S055,V0050010,2025-05-21 20:03:57,158946,PAID,Banyuwangi
O400068,S055,V0050014,2025-05-21 20:17:15,116832,PAID,Mojokerto
O400069,S055,V0050018,2025-05-21 20:12:08,214264,PAID,Depok
O400070,S055,V0050019,2025-05-21 20:08:08,106262,PAID,Kupang
O400071,S055,V0050041,2025-05-21 20:11:05,155008,PAID,Purwokerto
O400072,S055,V0050045,2025-05-21 20:25:18,94448,PAID,Madiun
O400073,S055,V0050063,2025-05-21 20:19:44,133143,PAID,Banyuwangi
O400074,S055,V0050064,2025-05-21 20:19:33,152694,PAID,Tangerang
O400075,S055,V0050066,2025-05-21 20:17:02,119914,PAID,Madiun
O400076,S055,V0050104,2025-05-21 20:12:39,169595,PAID,Mojokerto
O400077,S055,V0050121,2025-05-21 20:17:41,110066,PAID,Serang
O400078,S056,V0060000,2025-05-22 20:59:34,124921,PAID,Sukabumi
O400079,S056,V0060004,2025-05-22 20:55:44,194592,PAID,Surabaya
O400080,S056,V0060005,2025-05-22 20:44:22,223245,PAID,Banjarmasin
O400081,S056,V0060008,2025-05-22 20:39:40,155008,PAID,Probolinggo
O400082,S056,V0060009,2025-05-22 20:55:38,116832,PAID,Mojokerto
O400083,S056,V0060012,2025-05-22 20:40:28,223245,PAID,Banyuwangi
O400084,S056,V0060013,2025-05-22 20:48:30,152694,PAID,Mojokerto
O400085,S056,V0060053,2025-05-22 20:52:25,133143,PAID,Bandar Lampung
O400086,S056,V0060060,2025-05-22 20:41:20,210763,PAID,Bekasi
O400087,S056,V0060076,2025-05-22 20:55:45,114862,PAID,Probolinggo
O400088,S056,V0060079,2025-05-22 20:46:30,76956,PAID,Cilacap
O400089,S056,V0060091,2025-05-22 20:55:41,169595,PAID,Denpasar
O400090,S056,V0060099,2025-05-22 20:40:56,187757,PAID,Tegal
O400091,S056,V0060102,2025-05-22 20:40:11,94448,PAID,Tasikmalaya
O400092,S056,V0060112,2025-05-22 20:45:30,145861,PAID,Cikampek
O400093,S056,V0060129,2025-05-22 20:46:59,78234,PAID,Kediri
O400094,S056,V0060142,2025-05-22 21:01:41,88610,PAID,Bandar Lampung
O400095,S057,V0070040,2025-05-22 19:19:08,76956,PAID,Pontianak
O400096,S057,V0070051,2025-05-22 19:14:48,169595,PAID,Sukabumi
O400097,S057,V0070069,2025-05-22 19:18:39,214264,PAID,Blitar
O400098,S057,V0070072,2025-05-22 19:10:38,215024,PAID,Singaraja
O400099,S057,V0070075,2025-05-22 19:04:54,133143,PAID,Mojokerto
O400100,S057,V0070078,2025-05-22 19:15:15,110066,PAID,Malang
O400101,S057,V0070102,2025-05-22 19:18:36,173712,PAID,Cilacap
O400102,S057,V0070107,2025-05-22 19:09:58,245368,PAID,Garut
O400103,S057,V0070113,2025-05-22 19:25:26,119914,PAID,Tegal
O400104,S057,V0070115,2025-05-22 19:06:55,116832,PAID,Cianjur
O400105,S057,V0070139,2025-05-22 19:22:24,152694,PAID,Banyuwangi
O400106,S057,V0070145,2025-05-22 19:25:48,229014,PAID,Blitar
O400107,S057,V0070146,2025-05-22 19:29:05,187757,PAID,Karawang
O400108,S057,V0070148,2025-05-22 19:11:24,94448,PAID,Makassar
O400109,S058,V0080001,2025-05-22 20:29:34,187757,PAID,Bengkulu
O400110,S058,V0080006,2025-05-22 20:19:44,173712,PAID,Jakarta
O400111,S058,V0080013,2025-05-22 20:20:41,78331,PAID,Pekanbaru
O400112,S058,V0080019,2025-05-22 20:31:02,219336,PAID,Palu
O400113,S058,V0080031,2025-05-22 20:18:56,110066,PAID,Malang
O400114,S058,V0080052,2025-05-22 20:11:48,87962,PAID,Tangerang
O400115,S058,V0080060,2025-05-22 20:22:59,140765,PAID,Jakarta
O400116,S058,V0080067,2025-05-22 20:17:11,88143,PAID,Makassar
O400117,S058,V0080076,2025-05-22 20:18:47,223245,PAID,Cikampek
O400118,S058,V0080101,2025-05-22 20:18:39,203080,PAID,Serang
O400119,S058,V0080107,2025-05-22 20:28:27,211394,PAID,Jambi
O400120,S058,V0080108,2025-05-22 20:13:10,94448,PAID,Probolinggo
O400121,S058,V0080110,2025-05-22 20:14:57,215024,PAID,Cianjur
O400122,S058,V0080129,2025-05-22 20:22:46,127068,PAID,Pekanbaru
O400123,S058,V0080141,2025-05-22 20:14:45,188858,PAID,Magelang
O400124,S059,V0090000,2025-05-23 21:13:03,87962,PAID,Blitar
O400125,S059,V0090008,2025-05-23 21:30:25,133143,PAID,Cianjur
O400126,S059,V0090016,2025-05-23 21:12:34,114862,PAID,Denpasar
O400127,S059,V0090018,2025-05-23 21:13:12,158946,PAID,Purwokerto
O400128,S059,V0090019,2025-05-23 21:23:33,210763,PAID,Ambon
O400129,S059,V0090034,2025-05-23 21:16:55,159194,PAID,Karawang
O400130,S059,V0090060,2025-05-23 21:04:28,194592,PAID,Kendari
O400131,S059,V0090070,2025-05-23 21:17:02,219695,PAID,Samarinda
O400132,S059,V0090076,2025-05-23 21:16:37,214264,PAID,Banyuwangi
O400133,S059,V0090079,2025-05-23 21:14:38,245368,PAID,Pasuruan
O400134,S059,V0090081,2025-05-23 21:11:45,78234,PAID,Jakarta
O400135,S059,V0090083,2025-05-23 21:26:36,177767,PAID,Bogor
O400136,S059,V0090100,2025-05-23 21:03:54,106262,PAID,Probolinggo
O400137,S059,V0090104,2025-05-23 21:17:07,145861,PAID,Semarang
O400138,S059,V0090143,2025-05-23 21:14:13,70565,PAID,Pekanbaru
O400139,S059,V0090149,2025-05-23 21:33:19,122730,PAID,Cilacap
O400140,S060,V0100004,2025-05-23 18:22:48,198085,PAID,Karawang
O400141,S060,V0100014,2025-05-23 18:25:22,211394,PAID,Bekasi
O400142,S060,V0100027,2025-05-23 18:29:52,78331,PAID,Depok
